
> abelion-notes@2.0.7 start
> npx http-server . -p 3000

Starting up http-server, serving .

http-server version: 14.1.1

http-server settings:
CORS: disabled
Cache: 3600 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://127.0.0.1:3000
  http://192.168.0.2:3000
Hit CTRL-C to stop the server

[2026-02-07T08:08:20.023Z]  "GET /lembaran/legalitas.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-07T08:08:20.027Z]  "GET /lembaran/publik.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-07T08:08:20.028Z]  "GET /versi.json" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-07T08:08:20.028Z]  "GET /izin.json" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-07T08:08:20.043Z]  "GET /pustaka/aksara/integrasi.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-07T08:08:20.080Z]  "GET /.env" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-07T08:08:20.081Z]  "GET /.env" Error (404): "Not found"
[2026-02-07T08:08:20.088Z]  "GET /.env" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2026-02-07T08:08:20.090Z]  "GET /.env" Error (404): "Not found"
[2026-02-07T08:08:20.586Z]  "GET /versi.json?t=1770451700582" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
